Date,Close,Index
2017-04-20,2050.43,DS30
2017-04-23,2024.51,DS30
2017-04-24,2019.71,DS30
2017-04-25,2026.35,DS30
2017-04-26,2038.59,DS30
2017-04-27,2034.71,DS30
2017-04-30,2016.13,DS30
2017-05-02,2032.37,DS30
2017-05-03,2041.12,DS30
2017-05-04,2033.72,DS30
2017-05-07,2033.42,DS30
2017-05-08,2035.6,DS30
2017-05-09,2026.18,DS30
2017-05-11,2023.96,DS30
2017-05-14,2017.95,DS30
2017-05-15,2002.33,DS30
2017-05-16,1997.77,DS30
2017-05-17,2002.11,DS30
2017-05-18,1991.79,DS30
2017-05-21,1982.49,DS30
2017-05-22,1993.78,DS30
2017-05-23,1997.54,DS30
2017-05-24,2009.25,DS30
2017-05-25,2011.36,DS30
2017-05-28,1994.47,DS30
2017-05-29,1989.26,DS30
2017-05-30,1991.99,DS30
2017-05-31,2005.18,DS30
2017-06-01,2022.73,DS30
2017-06-04,2028.49,DS30
2017-06-05,2044.82,DS30
2017-06-06,2047.16,DS30
2017-06-07,2043.8,DS30
2017-06-08,2037.01,DS30
2017-06-11,2032.28,DS30
2017-06-12,2024.71,DS30
2017-06-13,2026.64,DS30
2017-06-14,2027.14,DS30
2017-06-15,2031.29,DS30
2017-06-18,2031.01,DS30
2017-06-19,2032.88,DS30
2017-06-20,2049.52,DS30
2017-06-21,2063.07,DS30
2017-06-22,2071.4,DS30
2017-06-28,2083.96,DS30
2017-06-29,2083.8,DS30
2017-07-02,2078.75,DS30
2017-07-03,2105.36,DS30
2017-07-04,2114.42,DS30
2017-07-05,2120.77,DS30
2017-07-06,2103.57,DS30
2017-07-09,2108.27,DS30
2017-07-10,2122.14,DS30
2017-07-11,2126.6,DS30
2017-07-12,2116.31,DS30
2017-07-13,2131.16,DS30
2017-07-16,2133.36,DS30
2017-07-17,2133.03,DS30
2017-07-18,2134.24,DS30
2017-07-19,2121.25,DS30
2017-07-20,2121.79,DS30
2017-07-23,2121.17,DS30
2017-07-24,2125.34,DS30
2017-07-25,2124.24,DS30
2017-07-26,2131.34,DS30
2017-07-27,2129.1,DS30
2017-07-30,2126.81,DS30
2017-07-31,2143.5,DS30
2017-08-01,2136.95,DS30
2017-08-02,2131.66,DS30
2017-08-03,2123.12,DS30
2017-08-06,2130.07,DS30
2017-08-07,2125.07,DS30
2017-08-08,2119.65,DS30
2017-08-09,2121.21,DS30
2017-08-10,2125.71,DS30
2017-08-13,2126.03,DS30
2017-08-16,2112.32,DS30
2017-08-17,2109.09,DS30
2017-08-20,2098.78,DS30
2017-08-21,2097.86,DS30
2017-08-22,2103.33,DS30
2017-08-23,2102.29,DS30
2017-08-24,2111.34,DS30
2017-08-27,2118.5,DS30
2017-08-28,2121.36,DS30
2017-08-29,2124.89,DS30
2017-08-30,2126.57,DS30
2017-08-31,2138.72,DS30
2017-09-04,2145.0,DS30
2017-09-05,2157.08,DS30
2017-09-06,2160.48,DS30
2017-09-07,2178.5,DS30
2017-09-10,2201.43,DS30
2017-09-11,2208.78,DS30
2017-09-12,2200.72,DS30
2017-09-13,2212.14,DS30
2017-09-14,2225.19,DS30
2017-09-17,2226.62,DS30
2017-09-18,2217.49,DS30
2017-09-19,2214.09,DS30
2017-09-20,2198.61,DS30
2017-09-21,2197.53,DS30
2017-09-24,2199.81,DS30
2017-09-25,2185.97,DS30
2017-09-26,2182.73,DS30
2017-09-27,2178.05,DS30
2017-09-28,2177.61,DS30
2017-10-02,2176.82,DS30
2017-10-03,2181.67,DS30
2017-10-04,2190.46,DS30
2017-10-05,2201.43,DS30
2017-10-08,2215.15,DS30
2017-10-09,2199.66,DS30
2017-10-10,2207.0,DS30
2017-10-11,2208.44,DS30
2017-10-12,2197.46,DS30
2017-10-15,2193.5,DS30
2017-10-16,2189.11,DS30
2017-10-17,2181.87,DS30
2017-10-18,2178.25,DS30
2017-10-19,2188.29,DS30
2017-10-22,2189.26,DS30
2017-10-23,2174.51,DS30
2017-10-24,2173.2,DS30
2017-10-25,2181.88,DS30
2017-10-26,2173.88,DS30
2017-10-29,2156.64,DS30
2017-10-30,2162.8,DS30
2017-10-31,2168.03,DS30
2017-11-01,2188.99,DS30
2017-11-02,2201.45,DS30
2017-11-05,2198.36,DS30
2017-11-06,2208.48,DS30
2017-11-07,2210.72,DS30
2017-11-08,2229.88,DS30
2017-11-09,2244.1,DS30
2017-11-12,2259.34,DS30
2017-11-13,2261.87,DS30
2017-11-14,2277.91,DS30
2017-11-15,2270.3,DS30
2017-11-16,2279.64,DS30
2017-11-19,2290.34,DS30
2017-11-20,2286.11,DS30
2017-11-21,2268.73,DS30
2017-11-22,2270.66,DS30
2017-11-23,2277.35,DS30
2017-11-26,2280.0,DS30
2017-11-27,2267.64,DS30
2017-11-28,2255.22,DS30
2017-11-29,2261.03,DS30
2017-11-30,2270.13,DS30
2017-12-03,2273.97,DS30
2017-12-04,2266.3,DS30
2017-12-05,2278.06,DS30
2017-12-06,2271.47,DS30
2017-12-07,2264.07,DS30
2017-12-10,2250.22,DS30
2017-12-11,2246.27,DS30
2017-12-12,2257.41,DS30
2017-12-13,2251.67,DS30
2017-12-14,2247.18,DS30
2017-12-17,2239.29,DS30
2017-12-18,2244.54,DS30
2017-12-19,2243.87,DS30
2017-12-20,2231.16,DS30
2017-12-21,2231.19,DS30
2017-12-24,2231.05,DS30
2017-12-26,2244.92,DS30
2017-12-27,2261.38,DS30
2017-12-28,2283.22,DS30
2018-01-01,2281.55,DS30
2018-01-02,2291.37,DS30
2018-01-03,2301.81,DS30
2018-01-04,2295.21,DS30
2018-01-07,2283.21,DS30
2018-01-08,2261.45,DS30
2018-01-09,2262.78,DS30
2018-01-10,2253.5,DS30
2018-01-11,2260.24,DS30
2018-01-14,2242.5,DS30
2018-01-15,2224.86,DS30
2018-01-16,2247.07,DS30
2018-01-17,2236.14,DS30
2018-01-18,2241.11,DS30
2018-01-21,2260.58,DS30
2018-01-22,2285.72,DS30
2018-01-23,2302.44,DS30
2018-01-24,2303.95,DS30
2018-01-25,2304.69,DS30
2018-01-28,2281.14,DS30
2018-01-29,2293.96,DS30
2018-01-30,2267.0,DS30
2018-01-31,2238.95,DS30
2018-02-01,2227.92,DS30
2018-02-04,2191.58,DS30
2018-02-05,2191.29,DS30
2018-02-06,2216.17,DS30
2018-02-07,2216.13,DS30
2018-02-08,2225.48,DS30
2018-02-11,2255.82,DS30
2018-02-12,2244.04,DS30
2018-02-13,2246.03,DS30
2018-02-14,2250.53,DS30
2018-02-15,2230.92,DS30
2018-02-18,2193.54,DS30
2018-02-19,2188.92,DS30
2018-02-20,2173.26,DS30
2018-02-22,2170.25,DS30
2018-02-25,2142.05,DS30
2018-02-26,2127.09,DS30
2018-02-27,2141.17,DS30
2018-02-28,2146.37,DS30
2018-03-01,2168.96,DS30
2018-03-04,2172.4,DS30
2018-03-05,2152.36,DS30
2018-03-06,2155.86,DS30
2018-03-07,2143.62,DS30
2018-03-08,2143.82,DS30
2018-03-11,2126.17,DS30
2018-03-12,2107.44,DS30
2018-03-13,2085.54,DS30
2018-03-14,2090.98,DS30
2018-03-15,2116.09,DS30
2018-03-18,2118.79,DS30
2018-03-19,2105.29,DS30
2018-03-20,2102.35,DS30
2018-03-21,2084.99,DS30
2018-03-22,2082.27,DS30
2018-03-25,2075.36,DS30
2018-03-27,2056.76,DS30
2018-03-28,2055.36,DS30
2018-03-29,2106.02,DS30
2018-04-01,2150.0,DS30
2018-04-02,2176.71,DS30
2018-04-03,2165.98,DS30
2018-04-04,2167.23,DS30
2018-04-05,2194.53,DS30
2018-04-08,2198.98,DS30
2018-04-09,2207.6,DS30
2018-04-10,2195.66,DS30
2018-04-11,2190.88,DS30
2018-04-12,2186.79,DS30
2018-04-15,2175.92,DS30
2018-04-16,2179.08,DS30
